finding_type,finding,cell_type,markers,genes,hedges_g,p_value_fdr,aki_gene_association,aki_genes,indra_evidence_count,indra_max_belief,indra_statement_types,indra_context_tier,kidney_context_count,kidney_contexts,biological_context,enrichment_score,fraction_significant,shared_go_processes,mechanistic_narrative
differential_abundance,activated_immune_cd44 Sham_vs_D1,activated_immune_cd44,"CD44, CD45","CD44, PTPRC",0.6385671338697126,0.8602150537634408,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,,,,
differential_abundance,activated_immune_cd44 Sham_vs_D3,activated_immune_cd44,"CD44, CD45","CD44, PTPRC",0.2818096154538934,0.8602150537634408,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,,,,
differential_abundance,activated_immune_cd44 Sham_vs_D7,activated_immune_cd44,"CD44, CD45","CD44, PTPRC",-0.302533446436991,0.8602150537634408,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,,,,
differential_abundance,activated_immune_cd44 D1_vs_D3,activated_immune_cd44,"CD44, CD45","CD44, PTPRC",-0.2788546992865973,1.0,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,,,,
differential_abundance,activated_immune_cd44 D3_vs_D7,activated_immune_cd44,"CD44, CD45","CD44, PTPRC",-0.676208964932464,0.8602150537634408,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,,,,
differential_abundance,activated_immune_cd140b Sham_vs_D1,activated_immune_cd140b,"CD140b, CD45","PDGFRB, PTPRC",-0.2950231511653752,0.8602150537634408,False,,2,0.472,IncreaseAmount,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,,,,
differential_abundance,activated_immune_cd140b Sham_vs_D3,activated_immune_cd140b,"CD140b, CD45","PDGFRB, PTPRC",-1.2210073680821825,0.8602150537634408,False,,2,0.472,IncreaseAmount,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,,,,
differential_abundance,activated_immune_cd140b Sham_vs_D7,activated_immune_cd140b,"CD140b, CD45","PDGFRB, PTPRC",-0.0313628116882472,1.0,False,,2,0.472,IncreaseAmount,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,,,,
differential_abundance,activated_immune_cd140b D1_vs_D3,activated_immune_cd140b,"CD140b, CD45","PDGFRB, PTPRC",-0.4872417241845445,1.0,False,,2,0.472,IncreaseAmount,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,,,,
differential_abundance,activated_immune_cd140b D3_vs_D7,activated_immune_cd140b,"CD140b, CD45","PDGFRB, PTPRC",0.8685952338115898,0.8602150537634408,False,,2,0.472,IncreaseAmount,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,,,,
differential_abundance,activated_endothelial_cd44 Sham_vs_D1,activated_endothelial_cd44,"CD44, CD31","CD44, PECAM1",-0.4543401553086104,0.8602150537634408,True,CD44,4,0.484,"Activation, IncreaseAmount, Inhibition",low,7,kidney_lineage_markers; glomerular_endothelium; neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,,,,,
